ID_Penumpang,Selamat,Kelas_Tiket,Nama,Jenis_Kelamin,Usia,Saudara_Spouse,Orangtua_Anak,Tiket,Harga_Tiket,Kabin,Pelabuhan_Naik
1,0,1,Vina Pratama,pria,46.0,2,0,TKT-98777,57.67,B,Queenstown
2,1,3,Adi Nugroho,wanita,30.0,2,1,TKT-32810,83.35,E,Southampton
3,0,2,Hendra Kusuma,wanita,38.0,1,1,TKT-90676,54.83,E,Queenstown
4,0,3,Erik Pratama,wanita,26.0,1,1,TKT-84593,16.05,F,Southampton
5,0,3,Wawan Salim,pria,34.0,0,2,TKT-49446,46.47,F,Cherbourg
6,1,2,Citra Hartono,pria,28.0,1,0,TKT-63225,54.77,A,Southampton
7,0,2,Nadia Susanto,pria,31.0,1,0,TKT-81819,74.82,,Queenstown
8,0,3,Adi Wijaya,wanita,37.0,2,2,TKT-10053,19.59,,Cherbourg
9,0,2,Gita Kusuma,wanita,20.0,1,1,TKT-49829,22.6,B,Southampton
10,1,1,Rizal Anggara,wanita,55.0,0,2,TKT-47606,33.73,C,Queenstown
11,0,2,Adi Salim,pria,18.0,1,2,TKT-37549,33.98,A,Southampton
12,0,1,Gita Salim,wanita,15.0,2,2,TKT-66346,75.9,E,Southampton
13,0,3,Nadia Kusuma,wanita,44.0,2,0,TKT-86019,32.57,A,Southampton
14,0,3,Oka Hartono,wanita,39.0,1,2,TKT-89516,66.98,C,Southampton
15,1,3,Intan Santoso,wanita,37.0,2,0,TKT-95813,54.48,E,Southampton
16,0,3,Zara Wahyudi,pria,38.0,0,0,TKT-52237,61.6,F,Queenstown
17,1,3,Xena Utama,pria,30.0,0,0,TKT-70946,85.43,D,Southampton
18,1,1,Kristi Nugroho,wanita,19.0,1,1,TKT-67905,46.39,D,Cherbourg
19,1,3,Erik Setiawan,pria,31.0,1,0,TKT-67954,79.38,F,Southampton
20,0,3,Zara Hidayat,pria,22.0,1,0,TKT-98555,47.98,B,Queenstown
21,1,3,Dewi Wijaya,wanita,42.0,2,1,TKT-38010,41.85,A,Queenstown
22,0,3,Mira Pratama,wanita,28.0,0,0,TKT-77000,96.28,E,Southampton
23,1,2,Lina Putra,pria,20.0,0,2,TKT-72021,26.59,F,Queenstown
24,1,1,Uli Nugroho,wanita,26.0,2,2,TKT-32241,18.13,,Southampton
25,1,2,Budi Primadi,pria,35.0,0,0,TKT-96356,79.39,F,Queenstown
26,1,2,Sari Pratama,wanita,23.0,1,1,TKT-21114,16.14,B,Southampton
27,1,3,Mira Wijaya,pria,20.0,1,2,TKT-47196,85.34,A,Queenstown
28,1,3,Sari Ramadhan,wanita,33.0,1,1,TKT-77561,49.35,F,Southampton
29,1,1,Vina Anggara,pria,33.0,0,1,TKT-97012,92.4,,Southampton
30,1,3,Lina Hartono,pria,24.0,1,2,TKT-92960,74.94,C,Cherbourg
31,0,2,Gita Wijaya,pria,24.0,2,1,TKT-91167,64.94,,Southampton
32,0,2,Budi Kusuma,wanita,33.0,2,2,TKT-53933,95.44,F,Southampton
33,1,1,Zara Ramadhan,pria,13.0,0,1,TKT-22240,45.7,E,Southampton
34,1,2,Citra Kusuma,pria,13.0,2,2,TKT-40784,95.87,,Southampton
35,1,3,Dewi Prasetyo,wanita,21.0,2,0,TKT-98184,22.15,A,Southampton
36,0,2,Intan Primadi,wanita,27.0,0,2,TKT-50687,53.54,,Southampton
37,1,3,Vina Putra,pria,34.0,1,2,TKT-39444,34.29,E,Southampton
38,0,3,Fajar Putra,pria,48.0,1,2,TKT-36100,58.59,,Southampton
39,0,2,Lina Setiawan,wanita,40.0,1,2,TKT-29313,24.58,A,Queenstown
40,0,3,Wawan Nugroho,wanita,28.0,0,1,TKT-13201,85.74,C,Southampton
41,0,3,Xena Wijaya,wanita,30.0,2,0,TKT-16057,86.18,E,Southampton
42,0,2,Uli Wahyudi,wanita,18.0,1,2,TKT-42092,95.97,D,Southampton
43,1,2,Sari Kusuma,wanita,30.0,1,1,TKT-72277,23.92,F,Southampton
44,1,2,Fajar Primadi,pria,27.0,0,0,TKT-90120,66.1,C,Queenstown
45,1,2,Mira Nugroho,wanita,34.0,1,0,TKT-19545,52.68,A,Southampton
46,1,1,Vina Salim,pria,20.0,0,0,TKT-69692,40.99,E,Southampton
47,1,3,Hendra Hidayat,pria,36.0,2,0,TKT-64321,41.64,F,Cherbourg
48,0,3,Zara Susanto,pria,48.0,0,2,TKT-92544,47.15,C,Cherbourg
49,1,1,Hendra Susanto,wanita,29.0,0,2,TKT-85454,73.44,A,Southampton
50,1,2,Kristi Prasetyo,pria,35.0,0,1,TKT-35485,63.85,,Cherbourg
51,0,3,Intan Wijaya,pria,38.0,0,1,TKT-60328,51.37,D,Queenstown
52,1,2,Gita Hartono,wanita,25.0,2,1,TKT-74799,16.83,,Southampton
53,0,1,Xena Hidayat,pria,33.0,2,0,TKT-62383,17.0,D,Cherbourg
54,1,2,Gita Halim,pria,30.0,1,0,TKT-41979,10.21,A,Cherbourg
55,0,3,Mira Primadi,wanita,31.0,2,2,TKT-29342,97.09,D,Southampton
56,1,2,Erik Nugroho,pria,21.0,2,0,TKT-95990,10.47,C,Southampton
57,1,3,Erik Kusuma,pria,30.0,1,0,TKT-10726,19.28,F,Southampton
58,0,3,Yudi Salim,pria,36.0,2,0,TKT-23970,38.31,,Queenstown
59,0,2,Sari Nugroho,wanita,47.0,0,1,TKT-65724,82.67,D,Queenstown
60,0,3,Yudi Hartono,wanita,42.0,0,1,TKT-38683,96.59,F,Cherbourg
61,0,2,Nadia Hartono,wanita,56.0,1,2,TKT-33053,81.1,B,Southampton
62,0,3,Mira Putra,pria,21.0,1,0,TKT-77889,72.15,D,Cherbourg
63,0,3,Hendra Saputra,pria,40.0,1,0,TKT-70889,56.92,B,Southampton
64,0,3,Rizal Halim,wanita,32.0,0,2,TKT-16582,17.8,F,Southampton
65,0,1,Citra Susanto,pria,56.0,2,0,TKT-83060,96.24,E,Southampton
66,1,3,Dewi Saputra,pria,20.0,0,0,TKT-42662,78.26,F,Queenstown
67,1,2,Vina Wahyudi,wanita,20.0,1,1,TKT-25906,67.51,C,Southampton
68,0,1,Wawan Utama,wanita,23.0,2,2,TKT-69829,78.31,E,Queenstown
69,1,1,Uli Wijaya,pria,5.0,2,2,TKT-27477,75.17,,Southampton
